Year,Month,Day,Hour,Minute,SA mean,SA std
2018,5,31,16,0,0.202494874,NaN
2018,5,31,22,0,0.181134655,NaN
2018,6,1,4,0,0.285799727,0.014006832
2018,6,1,10,0,0.292207792,NaN
2018,6,1,16,0,0.22171907,NaN
2018,6,1,20,30,0.202494874,NaN
2018,6,2,5,0,0.220295056,0.004446484
2018,6,2,18,0,0.211038961,NaN
2018,6,2,21,0,0.217447027,NaN
2018,6,3,5,0,0.26657553,0.007701536
2018,6,3,13,0,0.219583049,NaN
2018,6,3,21,0,0.249487355,NaN
2018,6,4,5,0,0.176862611,0.063795218
2018,6,4,13,0,0.178998633,NaN
2018,6,4,21,0,NaN,NaN
2018,6,5,5,0,0.249487355,0.006041582
2018,6,5,13,0,0.236671224,NaN
2018,6,5,21,0,0.191814764,NaN
2018,6,6,5,0,0.202494874,0.010680109
2018,6,6,13,0,0.157638414,NaN
2018,6,6,21,0,0.185406699,NaN
2018,6,7,5,0,0.322112098,0.011302765
2018,6,7,13,0,0.352016405,NaN
2018,6,7,21,0,0.33492823,NaN
2018,6,8,5,0,0.328520164,0.007701536
2018,6,8,13,0,0.386192755,NaN
2018,6,8,21,0,0.313568011,NaN
2018,6,9,5,0,0.3320802,0.019263712
2018,6,9,13,0,0.168318524,NaN
2018,6,9,21,0,0.19822283,NaN
2018,6,10,5,0,0.315704033,0.012992914
2018,6,10,13,0,0.191814764,NaN
2018,6,10,21,0,0.326384142,NaN
